filename;agreement_score
mittekirjak__arhiiv_koolielu_ee__99939.json;2
kirjak__www_tarbijakaitse_ee__673085.json;2
mittekirjak__naistekas_delfi_ee__654271.json;2
kirjak__www_3dnews_ee__547451.json;2
kirjak__www_hambaarst_ee__281560.json;2
kirjak__arvamus_postimees_ee__101396.json;3
kirjak__rahvahaal_delfi_ee__105324.json;3
mittekirjak__larko_kolhoos_ee__241009.json;3
mittekirjak__larko_kolhoos_ee__100439.json;3
mittekirjak__rahvahaal_delfi_ee__499557.json;3
mittekirjak__www_geopeitus_ee__558696.json;3
mittekirjak__www_geopeitus_ee__564301.json;3
mittekirjak__www_lapsemure_ee__147783.json;3
kirjak__www_meiekirik_ee__348215.json;3
kirjak__www_eestikirik_ee__347024.json;3
kirjak__www_autoleht_ee__350068.json;3
mittekirjak__www_hambaarst_ee__350368.json;3
kirjak__www_rajaleidja_ee__350561.json;3
mittekirjak__nami-nami_ee__351007.json;3
mittekirjak__nami-nami_ee__57221.json;3
mittekirjak__nami-nami_ee__100212.json;3
mittekirjak__www_innovationfestival_ee__100225.json;3
kirjak__www_loodusajakiri_ee__245811.json;3
mittekirjak__uudised_err_ee__245935.json;3
mittekirjak__juura_ee__336894.json;3
kirjak__www_horisont_ee__404046.json;3
mittekirjak__www_360_ee__455808.json;3
mittekirjak__juura_ee__456231.json;3
kirjak__forte_delfi_ee__475427.json;3
kirjak__www_epl_ee__81006.json;3
kirjak__www_syndikaat_ee__81209.json;3
mittekirjak__elamugrupp_ee__81381.json;3
kirjak__valitsus_ee__106660.json;3
mittekirjak__adult_pri_ee__446331.json;3
kirjak__kalah_zzz_ee__496174.json;3
kirjak__www_emta_ee__590237.json;3
mittekirjak__rahvahaal_delfi_ee__254738.json;3
mittekirjak__rahvahaal_delfi_ee__391827.json;3
kirjak__blog_soccernet_ee__610385.json;3
mittekirjak__www_sevenline_ee__647764.json;3
kirjak__arvamus_postimees_ee__370618.json;3
mittekirjak__www_poogen_ee__680369.json;3
mittekirjak__kaja_ekstreem_ee__559456.json;3
mittekirjak__www_okia_ee__269976.json;3
mittekirjak__blog_soccernet_ee__271009.json;3
mittekirjak__blog_maaleht_ee__212517.json;3
mittekirjak__para_forum_co_ee__216425.json;3
mittekirjak__vikerraadio_err_ee__94613.json;3
mittekirjak__videvik_forum_co_ee__309894.json;3
mittekirjak__www_geopeitus_ee__311297.json;3
mittekirjak__www_minut_ee__353779.json;3
kirjak__www_meiekirik_ee__562529.json;3
kirjak__www_meiekirik_ee__568001.json;3
kirjak__www_teek_ee__533844.json;3
mittekirjak__nami-nami_ee__660738.json;3
mittekirjak__www_kliinik_ee__74478.json;3
mittekirjak__www_kliinik_ee__77780.json;3
kirjak__www_adaur_ee__87872.json;3
kirjak__www_tlu_ee__100610.json;3
mittekirjak__www_lemmik_ee__100692.json;3
kirjak__www_tarbijakaitse_ee__475554.json;3
mittekirjak__arhiiv_koolielu_ee__489769.json;3
kirjak__reisiajakiri_gomaailm_ee__505827.json;3
kirjak__reisiajakiri_gomaailm_ee__506488.json;3
kirjak__www_stardiplats_ee__506639.json;3
kirjak__www_director_ee__506742.json;3
kirjak__naistekas_delfi_ee__640009.json;3
kirjak__www_syndikaat_ee__655520.json;3
kirjak__www_le_ee__655572.json;3
kirjak__www_volley_ee__655692.json;3
kirjak__www_riigikogu_ee__189965.json;3
kirjak__valitsus_ee__237746.json;3
kirjak__valitsus_ee__566747.json;3
kirjak__www_riigikogu_ee__627604.json;3
kirjak__valitsus_ee__376244.json;3
kirjak__eaq_ee__530463.json;3
mittekirjak__asashio_anime_ee__71983.json;3
kirjak__www_hk_tlu_ee__309937.json;3
mittekirjak__www_poogen_ee__493222.json;3
mittekirjak__www_poogen_ee__500071.json;3
kirjak__rahvahaal_delfi_ee__590664.json;3
mittekirjak__larko_kolhoos_ee__92948.json;3
mittekirjak__pesa_ingliabi_ee__83101.json;3
mittekirjak__blog_maaleht_ee__75865.json;3
mittekirjak__vikerraadio_err_ee__85409.json;3
mittekirjak__naistekas_delfi_ee__96829.json;3
mittekirjak__www_lapsemure_ee__682031.json;3
kirjak__www_eestikirik_ee__674110.json;3
kirjak__www_meiekirik_ee__78368.json;3
mittekirjak__www_innovationfestival_ee__87263.json;3
kirjak__maainfo_ee__91429.json;3
mittekirjak__nami-nami_ee__91118.json;3
kirjak__filmitalgud_ee__58638.json;3
mittekirjak__www_hambaarst_ee__101025.json;3
kirjak__www_naisteleht_ee__81806.json;3
kirjak__www_naisteleht_ee__82065.json;3
kirjak__www_vorumaateataja_ee__87754.json;3
kirjak__www_vain_ee__93594.json;3
kirjak__www_naisteleht_ee__94178.json;3
mittekirjak__www_vorumaateataja_ee__97741.json;3
kirjak__uudised_err_ee__98236.json;3
kirjak__www_med24_ee__615835.json;3
mittekirjak__www_fyysika_ee__510407.json;3
kirjak__uudised_err_ee__126558.json;3
kirjak__www_riigikogu_ee__467249.json;3
kirjak__www_riigikogu_ee__322450.json;3
kirjak__valitsus_ee__563634.json;3
kirjak__valitsus_ee__472309.json;3
kirjak__www_riigikogu_ee__539495.json;3
kirjak__www_nokitse_ee__25326.json;3
mittekirjak__www_kuidas_ee__311435.json;3
mittekirjak__oliver_tele2_ee__396482.json;3
kirjak__valitsus_ee__588358.json;3
kirjak__valitsus_ee__82999.json;3
kirjak__www_riigikogu_ee__96370.json;3
mittekirjak__ehh_ee__618542.json;3
kirjak__ohtuleht_ee__100000.json;3
kirjak__noored_emmaste_ee__10006.json;3
mittekirjak__juura_ee__100106.json;3
mittekirjak__arhiiv_koolielu_ee__100253.json;3
mittekirjak__uudised_err_ee__100333.json;3
kirjak__uudiskiri_e-ope_ee__163791.json;3
kirjak__arhiiv_koolielu_ee__201559.json;3
kirjak__ilm_ee__74391.json;3
mittekirjak__www_laanemaa_ee__74758.json;3
kirjak__www_aks_ee__8142.json;3
kirjak__www_loodusajakiri_ee__81657.json;3
kirjak__ilm_ee__9857.json;3
mittekirjak__arhiiv_koolielu_ee__99046.json;3
kirjak__reform_ee__99737.json;3
kirjak__ohtuleht_ee__99780.json;3
kirjak__www_vnl_ee__65570.json;3
kirjak__uudised_err_ee__672055.json;3
kirjak__www_tarbijakaitse_ee__674014.json;3
kirjak__ohtuleht_ee__674358.json;3
kirjak__ohtuleht_ee__652017.json;3
kirjak__archimedes_ee__319725.json;3
mittekirjak__www_ilm_err_ee__195124.json;3
kirjak__www_ehitusala_ee__296152.json;3
mittekirjak__arhiiv_koolielu_ee__555727.json;3
kirjak__www_vorumaateataja_ee__583790.json;3
kirjak__www_eestikirik_ee__108634.json;3
kirjak__www_eestikirik_ee__245684.json;3
kirjak__www_eestikirik_ee__88671.json;3
kirjak__www_meiekirik_ee__80910.json;3
kirjak__www_adaur_ee__101212.json;3
mittekirjak__www_innovationfestival_ee__562139.json;3
mittekirjak__nami-nami_ee__468599.json;3
kirjak__www_lemmik_ee__606733.json;3
mittekirjak__www_lemmik_ee__466572.json;3
kirjak__www_adaur_ee__424395.json;3
