ja	ja	Ok
tüdrukud	tüdrukud	Ok
erinevad	erinevad	Ok
(	(	Punct
punkt	punkt	Ok
5	5	Ok
)	)	Punct
?	?	Punct
tüdrukule	tüdrukule	Ok
tuleks	tuleks	Ok
varakult	varakult	Ok
rääkida	rääkida	Ok
,	,	Punct
mis	mis	Ok
asi	asi	Ok
on	on	Ok
menstruatsioon	menstruatsioon	Ok
.	.	Punct
mina	mina	Ok
nt	nt	Abbrev
ei	ei	Ok
teadnud	teadnud	Ok
,	,	Punct
arvasin	arvasin	Ok
,	,	Punct
et	et	Ok
mul	mul	Ok
on	on	Ok
mingi	mingi	Ok
müstiline	müstiline	Ok
haigus	haigus	Ok
,	,	Punct
millesse	millesse	Ok
ma	ma	Ok
lihtsalt	lihtsalt	Ok
suren	suren	Ok
.	.	Punct
vähemalt	vähemalt	Ok
,	,	Punct
lihtsam	lihtsam	Ok
ka	ka	Ok
,	,	Punct
on	on	Ok
anda	anda	Ok
talle	talle	Ok
mingi	mingi	Ok
raamat	raamat	Ok
,	,	Punct
millest	millest	Ok
selle	selle	Ok
kohta	kohta	Ok
lugeda	lugeda	Ok
.	.	Punct
menstruatsiooni	menstruatsiooni	Ok
kohta	kohta	Ok
.	.	Punct
tegelikult	tegelikult	Ok
võiks	võiks	Ok
võimalikult	võimalikult	Ok
vara	vara	Ok
sellest	sellest	Ok
rääkida	rääkida	Ok
või	või	Ok
lugeda	lugeda	Ok
anda	anda	Ok
.	.	Punct
see	see	Ok
ehmatus	ehmatus	Ok
tekitab	tekitab	Ok
suure	suure	Ok
hirmu	hirmu	Ok
kõige	kõige	Ok
naiseksolemisega	naiseksolemisega	Ok
seotuga	seotuga	Ok
.	.	Punct
kui	kui	Ok
on	on	Ok
muidu	muidu	Ok
ka	ka	Ok
arg	arg	Ok
laps	laps	Ok
.	.	Punct
enesetapumõtted	enesetapumõtted	Ok
võib	võib	Ok
tekitada	tekitada	Ok
Rasedusest	Rasedusest	Ok
ja	ja	Ok
suguhaigustest	suguhaigustest	Ok
rääkida	rääkida	Ok
võib	võib	Ok
.	.	Punct
Aga	Aga	Ok
kas	kas	Ok
moraalist	moraalist	Ok
ja	ja	Ok
neitsilikkusest	neitsilikkusest	Ok
rääkimine	rääkimine	Ok
on	on	Ok
tänapäeval	tänapäeval	Ok
juba	juba	Ok
täiesti	täiesti	Ok
ära	ära	Ok
keelatud	keelatud	Ok
?	?	Punct
Keelatud	Keelatud	Ok
ei	ei	Ok
ole	ole	Ok
aga	aga	Ok
ju	ju	Ok
siis	siis	Ok
see	see	Ok
moraali	moraali	Ok
asi	asi	Ok
peab	peab	Ok
lapsel	lapsel	Ok
kuuendaks	kuuendaks	Ok
eluaastaks	eluaastaks	Ok
räägitud	räägitud	Ok
olema	olema	Ok
:-)	:-)	Emo
Räigelt	Räigelt	Ok
palju	palju	Ok
abi	abi	Ok
on	on	Ok
nendest	nendest	Ok
'	’	Punct
soovitustest	soovitustest	Ok
'	’	Punct
:D	:D	Emo
Kuueaastasele	Kuueaastasele	Ok
oleks	oleks	Ok
varavõitu	varavõitu	Ok
rääkida	rääkida	Ok
,	,	Punct
miks	miks	Ok
on	on	Ok
kellegagi	kellegagi	Ok
koos	koos	Ok
magamine	magamine	Ok
ebamoraalne	ebamoraalne	Ok
.	.	Punct
tänapäeva	tänapäeva	Ok
10aastased	-	Spell_Unknown
harivad	harivad	Ok
seksi	seksi	Ok
kohapealt	kohapealt	Ok
juba	juba	Ok
vanemaid	vanemaid	Ok
:)	:)	Emo
Ainus	Ainus	Ok
,	,	Punct
mida	mida	Ok
kodunt	kodunt	Ok
seksi	seksi	Ok
kohta	kohta	Ok
teada	teada	Ok
sain	sain	Ok
,	,	Punct
oli	oli	Ok
see	see	Ok
,	,	Punct
et	et	Ok
ju	ju	Ok
see	see	Ok
ikka	ikka	Ok
üks	üks	Ok
paha	paha	Ok
asi	asi	Ok
on	on	Ok
,	,	Punct
et	et	Ok
kui	kui	Ok
juba	juba	Ok
mõni	mõni	Ok
kuu	kuu	Ok
pärast	pärast	Ok
lahkuminekut	lahkuminekut	Ok
ühest	ühest	Ok
on	on	Ok
sul	sul	Ok
teine	teine	Ok
,	,	Punct
oled	oled	Ok
litsakas	litsakas	Ok
või	või	Ok
vähemalt	vähemalt	Ok
moraalitu	moraalitu	Ok
,	,	Punct
ka	ka	Ok
see	see	Ok
kui	kui	Ok
noored	noored	Ok
veidi	veidi	Ok
üksteisel	üksteisel	Ok
liiga	liiga	Ok
ligi	ligi	Ok
on	on	Ok
,	,	Punct
kohe	kohe	Ok
amelemine	amelemine	Ok
ja	ja	Ok
halb	halb	Ok
kasvatus	kasvatus	Ok
...	...	Punct
nii	nii	Ok
olen	olen	Ok
suhteid	suhteid	Ok
kartnud	kartnud	Ok
ja	ja	Ok
edasi	edasi	Ok
lükanud	lükanud	Ok
ning	ning	Ok
tundub	tundub	Ok
,	,	Punct
et	et	Ok
ei	ei	Ok
suudagi	suudagi	Ok
armuda	armuda	Ok
mitte	mitte	Ok
kellessegi	kellessegi	Ok
.	.	Punct
:(	:(	Emo
Suudad	Suudad	Ok
kindlasti	kindlasti	Ok
aga	aga	Ok
see	see	Ok
kodunt	kodunt	Ok
kaasa	kaasa	Ok
antud	antud	Ok
,	,	Punct
et	et	Ok
"	"	Punct
paha	paha	Ok
asi	asi	Ok
"	"	Punct
kindlasti	kindlasti	Ok
pärssib	pärsib	Spell_ED_1
lähedasi	lähedasi	Ok
kontakte	kontakte	Ok
vastapoolega	vastapoolega	Ok
ja	ja	Ok
mõningad	mõningad	Ok
hirmud	hirmud	Ok
jäävadki	jäävadki	Ok
sind	sind	Ok
saatma	saatma	Ok
.	.	Punct
Tean	Tean	Ok
omas	omas	Ok
käest	käest	Ok
,	,	Punct
tuttav	tuttav	Ok
tunne	tunne	Ok
.	.	Punct
Minu	Minu	Ok
vanemad	vanemad	Ok
ei	ei	Ok
rääkinud	rääkinud	Ok
eriti	eriti	Ok
midagi	midagi	Ok
.	.	Punct
Kui	Kui	Ok
telekast	telekast	Ok
midagi	midagi	Ok
näidati	näidati	Ok
,	,	Punct
siis	siis	Ok
oli	oli	Ok
uih	uih	Ok
ja	ja	Ok
aih	aih	Ok
,	,	Punct
nagu	nagu	Ok
oleks	oleks	Ok
midagi	midagi	Ok
taunitavat	taunitavat	Ok
.	.	Punct
Aga	Aga	Ok
sellest	sellest	Ok
hoolimata	hoolimata	Ok
on	on	Ok
minu	minu	Ok
elus	elus	Ok
kõik	kõik	Ok
hästi	hästi	Ok
ja	ja	Ok
suhteid	suhteid	Ok
ei	ei	Ok
ole	ole	Ok
kartnud	kartnud	Ok
.	.	Punct
vanematel	vanematel	Ok
on	on	Ok
kõik	kõik	Ok
kohutavalt	kohutavalt	Ok
uih	uih	Ok
ja	ja	Ok
vuih	vuih	Ok
,	,	Punct
siis	siis	Ok
laps	laps	Ok
pigem	pigem	Ok
jätab	jätab	Ok
kõik	kõik	Ok
vanematele	vanematele	Ok
rääkimata	rääkimata	Ok
.	.	Punct
sellepärast	sellepärast	Ok
saavadki	saavadki	Ok
pedofiilid	pedofiilid	Ok
nii	nii	Ok
kaua	kaua	Ok
nii	nii	Ok
vabalt	vabalt	Ok
tegutseda	tegutseda	Ok
,	,	Punct
et	et	Ok
lapsed	lapsed	Ok
ei	ei	Ok
julge	julge	Ok
vanematele	vanematele	Ok
rääkida	rääkida	Ok
,	,	Punct
tunnevad	tunnevad	Ok
end	end	Ok
väga	väga	Ok
süüdi	süüdi	Ok
,	,	Punct
ise-olen-lirvadena	ise-olen-lirvadena	Word_w_Punct
tunnevad	tunnevad	Ok
end	end	Ok
.	.	Punct
väga	väga	Ok
vähe	vähe	Ok
on	on	Ok
ilmselt	ilmselt	Ok
vanemaid	vanemaid	Ok
,	,	Punct
kes	kes	Ok
julgevad	julgevad	Ok
lapsele	lapsele	Ok
rääkida	rääkida	Ok
just	just	Ok
seda	seda	Ok
,	,	Punct
mis	mis	Ok
on	on	Ok
lapsele	lapsele	Ok
endale	endale	Ok
KASULIK	KASULIK	Ok
.	.	Punct
Lihtsalt	lihtsalt	Ok
hirmutatakse	hirmutatakse	Ok
,	,	Punct
kartes	kartes	Ok
,	,	Punct
et	et	Ok
tekib	tekib	Ok
ebaterve	ebaterve	Ok
uudishimu	uudishimu	Ok
.	.	Punct
Võiks	Võiks	Ok
toota	toota	Ok
algkoolilastele	algkoolilastele	Ok
õppefilmi	õppefilmi	Ok
pedofiilidest	pedofiilidest	Ok
hoidumiseks	hoidumiseks	Ok
.	.	Punct
Asjaliku	Asjaliku	Ok
ja	ja	Ok
informatiivse	informatiivse	Ok
,	,	Punct
mitte	mitte	Ok
hirmutava	hirmutava	Ok
ja	ja	Ok
häbitunnet	häbitunnet	Ok
tekitava	tekitava	Ok
,	,	Punct
mis	mis	Ok
samal	samal	Ok
ajal	ajal	Ok
ei	ei	Ok
räägi	räägi	Ok
ka	ka	Ok
ülearusest	ülearusest	Ok
.	.	Punct
Minu	Minu	Ok
ema	ema	Ok
nt	nt	Abbrev
keelas	keelas	Ok
naabritele	naabritele	Ok
tere	tere	Ok
öelda	öelda	Ok
,	,	Punct
(	(	Punct
et	et	Ok
äkki	äkki	Ok
võtavad	võtavad	Ok
õnge	õnge	Ok
või	või	Ok
?	?	Punct
)	)	Punct
miks	miks	Ok
,	,	Punct
seda	seda	Ok
ta	ta	Ok
ei	ei	Ok
öelnud	öelnud	Ok
.	.	Punct
Selline	Selline	Ok
hirmukramp	hirmukramp	Ok
.	.	Punct
Isa	Isa	Ok
arvas	arvas	Ok
samuti	samuti	Ok
,	,	Punct
et	et	Ok
tüdrukutele	tüdrukutele	Ok
ei	ei	Ok
tohi	tohi	Ok
mitte	mitte	Ok
midagi	midagi	Ok
rääkida	rääkida	Ok
(	(	Punct
ei	ei	Ok
põhjendanud	põhjendanud	Ok
,	,	Punct
miks	miks	Ok
)	)	Punct
.	.	Punct
Ometi	Ometi	Ok
on	on	Ok
just	just	Ok
rumal	rumal	Ok
tüdruk	tüdruk	Ok
hea	hea	Ok
saak	saak	Ok
,	,	Punct
peale	peale	Ok
pedofiilide	pedofiilide	Ok
ka	ka	Ok
suuremana	suuremana	Ok
juba	juba	Ok
,	,	Punct
alatutele	alatutele	Ok
poistele	poistele	Ok
