words,sentence,filename
['OK-kõik-köik'],"Raiko : Siiri , ma pean oskama kirjutada olen ju eestlane ) ) Homme lähen kalleid firmariideid tooma meile poodi üks rikas soome perekond tahtis anda meile neid ) ) Ma ei tea kuidas ma köik asjad peale saan mahtuma :))) panen katusele nööriga kinni :) R",Failid_ettenten_retaggered/www_saaguvalgus_ee__620434.json
['OK-üle-kle'],"ükskord ütlesin talle et palun ole minuga koos nüüd et tahaks kaissu tulla sulle , tema vastu siis et kle mis ma pean sind aind koguaeg kaisus hoidma vh ?",Failid_ettenten_retaggered/amor_ee__451466.json
['OK-hää-hää'],"Ei tea , kui palju on neid , kes vahel meenutavad , kuidas nad kunagi laulsid , et eestlane olla on uhke ja hää ?",Failid_ettenten_retaggered/arvamus_postimees_ee__43286.json
['OK-küllalt-kyllalt'],"Millal on maitse või meel kyllalt ergas , et ytelda : aitab , kui ma midagi “ õudseks kogemuseks ” pean , siis see ongi õudne ?",Failid_ettenten_retaggered/blog_varrak_ee__502574.json
"['OK-nüüd-Nyyd', 'OK-küsimus-kysimus', 'OK-külge-kylge']","Nyyd pole kysimus kindlasti minu napis hariduses , mäetipp on käes , siin ma seisan ja teisiti ma ei saa - naelutan oma saamise / saamatuse ukse kylge ning viskan raamatu ( või esmaabikapi ) autorit tindipotiga ?",Failid_ettenten_retaggered/blog_varrak_ee__502574.json
['OK-või-v6i'],3D siin 3D seal - suur BS Algatuseks v6iks telekasignaali hakata edastama 16 : 9 ja mingi m6istlikuma heliga kui mono v6i tava stereo . . . ? ! ?,Failid_ettenten_retaggered/forte_delfi_ee__116516.json
['OK-või-Vöi'],Vöi on ?,Failid_ettenten_retaggered/forte_delfi_ee__221552.json
"['OK-käsi-kysi', 'OK-võimalik-voimalik']","Tavaliselt ei kysi keegi , miks janesepoegade jalad ei higista ja miks lapsed jookstes ei vasi ja miks kassi ja koerapojad on NII armsate nagudega ja hiljem saavad osa neist ebasobralikud naod ja kuidas on voimalik , et peremeeh koer muutub peremehe sarnaseks ?",Failid_ettenten_retaggered/forte_delfi_ee__469992.json
['OK-vöö-vää'],kas need teadlased on mehed vää . . ?,Failid_ettenten_retaggered/forte_delfi_ee__469992.json
['OK-õis-sis'],"ytleme nii et hea algus :) selleks hooajaks sis minu mäkketõus läbi aga tulemas on talv , pikad pimedad mõtetud päevad ja õhtud , ehk saab kevadeks midagi valmis ?",Failid_ettenten_retaggered/hillclimb_ee__455076.json
['NAME-päts-Pets'],Kas netis sellise inimese nimetamine sõnaga petis Pets on karistatav ?,Failid_ettenten_retaggered/juura_ee__101615.json
['OK-või-vöi'],kas valimised on avalikud vöi salajased ?,Failid_ettenten_retaggered/m_aripaev_ee__288289.json
['OK-mõte-möte'],"pole ammu lugenud , mis on selle möte ?",Failid_ettenten_retaggered/rahvahaal_delfi_ee__257321.json
['OK-kõik-kóik'],"Telerist vaatavad filme eelkooliealised ja kooliealised ja kóik see , mis seal letti laotakse polegi nagu kólvatus ?",Failid_ettenten_retaggered/rahvahaal_delfi_ee__580054.json
['OK-üldse-yldse'],"Ma imestan ka kogu aeg , miks Maxima kassapidajatele ja hooldajatele yldse mingit palka makstakse ?",Failid_ettenten_retaggered/rahvahaal_delfi_ee__585732.json
['NAME-äri-Fri'],"- koondtabel http://www.3dnews.ee/est/mobile/12_tolli_koondtabel_16_04 Minisülearvutite karakteristikute koondtabel Süle- ja pihuarvutid Fri , 18 Apr 2008 18:08:31 + 0300 12 tolli ja vähem – kas asi on seda väärt ?",Failid_ettenten_retaggered/www_3dnews_ee__150870.json
['OK-vöö-vää'],"Kuna kaasajal on naiste hingekirja kuuluva inimese vanust üha raskem välisvaatluse tulemusel täppi panna , siis üks kergelt koomiline situatsioon nägi välja selline , et sõber taas ekstaasis ja silmad punnis peas , moosimas üht näkki , kui too äkki küsis :” Aga , kas see lasteahistamise paragraafi alla ei lähe vää ?",Failid_ettenten_retaggered/www_eeva_ee__49020.json
['OK-üle-yle'],"Kui saneerimine tähendab pilootide ja pardapersonali yle poolte koondamist ja lennupargi vähendamsit , siis sellega oleks Raasuke @ CO pidanud ka ise hakkama saama , milleks need Janid @ CO veel . . . . ? ? ?",Failid_ettenten_retaggered/www_ekspress_ee__233760.json
['OK-nüüd-nyyd'],Tahaks kysida : ja mis siis nyyd edasi ?,Failid_ettenten_retaggered/www_ekspress_ee__249281.json
['OK-või-vöi'],keda vöi mida see jutt aitab ?,Failid_ettenten_retaggered/www_ekspress_ee__249281.json
['OK-tõsi-tösi'],"Eetikapiiridest tösi ta on , ei saa aru ka tänased ajakirjanikud , kaasa arvatud loo autor , milleks kiskuda üles vanu asju ?",Failid_ettenten_retaggered/www_ekspress_ee__255950.json
['OK-väike-veike'],Kas Õnne 13 ühisvaatamisel veike pause sees ?,Failid_ettenten_retaggered/www_ekspress_ee__268368.json
['NAME-süli-Seli'],Mäletad Seli ?,Failid_ettenten_retaggered/www_ekspress_ee__428161.json
['OK-või-v6i'],Mina ühinen :) kas siis kohe v6i veebruarist ?,Failid_ettenten_retaggered/www_epl_ee__146134.json
['OK-üle-yle'],"Antud kirjutist lugedes vóib ainult imestada selle yle , kui alaväärselt jà matslikuna ta end erinevates söögikohtades tundis ?",Failid_ettenten_retaggered/www_epl_ee__254647.json
['NAME-õli-Eli'],Kas see on uus prohvet Eli W . kuulutus ?,Failid_ettenten_retaggered/www_epl_ee__261279.json
['OK-pääle-pääle'],"Oleks ju huvitav teada saada , kuidas Pakistani serva pääle välja veninud isamaa piir ka teie kahe emotsioonisid ja mitte üksnes ergutanud , möh ?",Failid_ettenten_retaggered/www_epl_ee__266813.json
['OK-või-vöi'],"Selgitada teemat , arutada vöi süvendada viha ja rumalust ?",Failid_ettenten_retaggered/www_epl_ee__586952.json
['NAME-äge-Age'],Sa sellist punti nagu No Age tead ?,Failid_ettenten_retaggered/www_fbi_ee__21591.json
['NAME-väga-Vega'],"Komisjon on võtnud arvesse Bulgaaria otsuse keelata viie Bulgaaria lennuettevõtja ( Air Sofia , Bright Aviation Services , Heli Air Services , Skorpion Air ja Vega Airlines ) lennud teistesse ELi liikmesriikidesse ning Islandile , Norrasse ja ?",Failid_ettenten_retaggered/www_infoturism_ee__88871.json
['OK-mõni-msni'],Tere Külaline See kes on muidu hetero aga tunneb tõmmet nii nagu minagi Et kuidas ntks su msni saada vms ?,Failid_ettenten_retaggered/www_lapsemure_ee__145049.json
['OK-süsi-sisi'],Ja raha selle jaoks kogud sisi nupsukate käest või kust ?,Failid_ettenten_retaggered/www_nupsu_ee__254149.json
['OK-süü-sii'],"Mina käisin nüüd sii uuesti Uh nagu pidi ja nüüd arst enam teist loodet ei näinud ja ta ei osanud ka öelda miks siis eelmine Uh oli näha kaht loodet ... igatahes nii kahju kuna ma olin nii harjunud mõttega , et on kaks beebsut ja nüüd olen ikka päris pettunud ... mees ütles mulle , et äkki polnud lihtsalt teist näha aga ma ei usu sellesse väga ... kas kellegil on veel nii olnud ?",Failid_ettenten_retaggered/www_nupsu_ee__593509.json
['OK-võimalus-vôimalus'],"Ja kui puudub vôimalus valitseda otse , siis vôib ju asevalitseda ?",Failid_ettenten_retaggered/www_obs_ee__314416.json
['OK-tõeliselt-Tôeliselt'],Tôeliselt huvitav küsimus : kas taolisest surmahaardest ilma täieliku kapitulatsioonita saab vabaneda ?,Failid_ettenten_retaggered/www_obs_ee__314416.json
['OK-kõik-kôik'],"Aga kujutage nüüd ette , et need duellidel tapetud tegelinskid jäänuksid kôik ellu ... edasi , mis edasi ?",Failid_ettenten_retaggered/www_obs_ee__629565.json
['OK-kõigest-KOIGEST'],"Nimelt see , et kui tuvastatud faktid on sellised ja sellised , MIDA SAAB SIIS SELLEST KOIGEST JÄRELDADA ?",Failid_ettenten_retaggered/www_obs_ee__629565.json
['OK-kõik-koik'],Me koik Katrini austajad-lugejad voiks suvel ( kui lumi on sulanud ) kokku saada ja koikidel teemadel arutada ?,Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
"['OK-vähemalt-vahemalt', 'OK-sõna-sona']","Kui olen eestist ara olnud 22 aastat , olennkainud vahemalt kaks korda aastas ja olen tundnud end eestlasena logu oma elu , kas mul on oigusnsiin blogis sona votta ?",Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-üsna-ysna'],Ja kui mul on eesmark eestisse taas elama tulla ysna pea ?,Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-niiöelda-niioelda'],"Pluss , kas ma kahetsen et tagasi eesti naasen , mu lapsed on inglased niioelda ?",Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-või-voi'],"ma olen kaheVahel , tulla voi mitte , ei oska kaaluda ?",Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-õnnelik-onnelik'],Kas eestis on onnelik elu ?,Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-või-voi'],Kas voi mitte ?,Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-jälle-jalle'],paap 03.07.2007 . 21:57 sugisel jalle kooli jep nimetu233 02.07.2007 . 12:46 Kuna pannakse üles 30juuni lõpetajate pildid ?,Failid_ettenten_retaggered/www_pkpk_ee__398038.json
['OK-ähm-khm'],"Rabarockil oli liiga palju nüristavat hambapuurirocki , Õllesummer oli liialt , khm , tavaline , Plink-Plongil õnnestus juba heliproovi ajal endale kerge ning päeva jooksul hoogsalt süvenev külmetus hankida ja Viljandi Folk - bling-bling alternatiivtsikid koos mentide , märsilohistajate ja Falcki turvaritega tekitasid lihtsalt küsimuse , kas maailm ongi hukas , või hakkan mina vanaks jääma ?",Failid_ettenten_retaggered/www_rada7_ee__7203.json
['OK-rüü-rõõ'],"Miljonid küll , aga TÜ õppeprorek ­ torit Martin Hallikut need ei rõõ ­ mus ­ tanud : „ 6,1 miljonit ?",Failid_ettenten_retaggered/www_rajaleidja_ee__666261.json
['OK-õis-Lis'],"Lis 20:00 Me elame küll kristlikus kultuuriruumis , aga kas kõike on vaja tingimata kristlusega siduda ?",Failid_ettenten_retaggered/www_skeptik_ee__299294.json
['OK-jäänus-jaanus'],"04/20/2005 - Saatis jaanus milline piltidest sealt "" toodete "" all esindab 250. - piipu ?",Failid_ettenten_retaggered/www_vesipiip_ee__213031.json
['OK-mätas-matas'],Kas Sul tekitab ülejõukäivaid raskusi eristada reaalelus toimivaid suhtelisusi ja nende kajastusi abstraktses matas ?,Failid_ettenten_retaggered/www_via_ee__461576.json
['OK-tähis-tohis'],"Et ma ei tohis siis omada iseseisvat mõtlemist ja veendumust selles , mida ma õigeks pean ?",Failid_ettenten_retaggered/www_via_ee__68564.json
['NAME-kõigest-Köigest'],3 ) Köigest ametlike tulemuste järgi on Eestist lahkunud 75 000 inimest,Failid_ettenten_retaggered/rahvahaal_delfi_ee__379694.json
['OK-või-vui'],"Või nagu kirjutab luuletuses « Laul lume lagunemisest » August Sang : « Pealt oli daam küll uih-kui-kena , nüüd aga märkad : vui , kui ropp !»",Failid_ettenten_retaggered/arhiiv_koolielu_ee__115740.json
['OK-päev-paev'],"Ma ise opin iga paev , iga kortsuga saan tarkust juurde",Failid_ettenten_retaggered/www_ohtuleht_ee__100749.json
['OK-nägu-nigu'],"Ja täiesti neutraalselt väljendudes : "" nigu , väljamaa "" pealkirjas üldse ei kõneta mind",Failid_ettenten_retaggered/www_ohtuleht_ee__648346.json
['OK-mõnusalt-mönusalt'],"teeme siis lihtsalt koosviibimise ja miks mitte meil Raplas nagu ka Joel mainis , meile mahub rahvast mönusalt , ahto minu pakkumine veel jõus , joogid teen välja",Failid_ettenten_retaggered/foorum_mosseliiga_ee__594172.json
['OK-äri-uri'],U uri tema hobide ja harrastuste järgi,Failid_ettenten_retaggered/www_erektsioon_ee__395799.json
['OK-käis-Kris'],Kris,Failid_ettenten_retaggered/forte_delfi_ee__79197.json
"['OK-hästi-hösti', 'ENGLISH-lõke-like']","Elu on jälle päikest täis ja naertuas on kogu aeg suul , ja koolis on hästi ja ültse on hösti ja me like it",Failid_ettenten_retaggered/blogi_ee__329615.json
['NAME-mäng-Mang'],Igor Mang : Savisaar ja Pihl on lausa teineteisele loodud,Failid_ettenten_retaggered/www_maaleht_ee__222791.json
['OK-näiteks-naiteks'],Mina enam naiteks Pariisi ei lahe !!,Failid_ettenten_retaggered/forte_delfi_ee__122251.json
['OK-sõda-sida'],"Sotsialistid muidugi leiavad , et eikak on lääneriigid kõiges süüdi ja nüdü siis mingid "" teadlased "" ksuagilt "" ülikoolidest "" avaldasid pisikese töökese , ksu läbi lillede on proovitud seletada ka arengumaade kohutavat olukorda väljaspool marxistlikku majadnusteooriat ... sellele pühaduserüvetusele peavda lagrspetzid koheselt vastulöögi andma ja nii , et "" rassipuhtusest "" soperdama kukkunud natziteadlased sida elulõpuni mäletavad !!",Failid_ettenten_retaggered/www_ekspress_ee__148241.json
['NAME-kõuts-Kauts'],Pärnu Kristliku Vabakoguduse pastor Sirje Kauts,Failid_ettenten_retaggered/www_eestikirik_ee__127686.json
"['OK-käsi-k2si', 'OK-jälle-j2lle', 'OK-üks-yks']",vaadake kui huvitav ?? vene k2si on j2lle sees seliises asjas nagu facebook ?? tohho tonti tegelikult ega maailmas neid hoobasid liigutavadadki ju tegelikult ida EUROOPLASED OBAMA aitas ka voimule yks ukraina verd seltsimees,Failid_ettenten_retaggered/www_ekspress_ee__487414.json
['OK-üle-kle'],"kle ale ,",Failid_ettenten_retaggered/www_epl_ee__492484.json
['OK-välja-v2lja'],Aga me ei hakka ju k6iki bussist v2lja kamandama ?!,Failid_ettenten_retaggered/www_epl_ee__267965.json
['OK-kõik-kôik'],"Lihtsalt suur aastalôpusagin matab kôik enda alla ... "" Aga ükskord algab aega . . . "" ;-)",Failid_ettenten_retaggered/www_obs_ee__629565.json
['OK-rõõmus-röömus'],jh ta näksib kõike seda selle eesmärgiga et laps midagigi sööks vb see ongi viga ......... söögitoolis istub kenasti aga on ka selline tool kus ta ise minna saab ja tulla saab siis pean tabureti ette tõstma lauaks ning siis sööme kolm ampsu ning siis on minek ............ jube halb tunne tekib kui laps ainult piima joob aga ise on ta röömus ja roosa .................,Failid_ettenten_retaggered/www_nupsu_ee__252012.json
['OK-õitsema-ōitsema'],Ähh isegi seda kui orhidee ōitsema läheb pasundatakse ju d e lfi le :) saati siis papist tikkudest vaikida saab ....,Failid_ettenten_retaggered/rahvahaal_delfi_ee__260583.json
['OK-ähm-khm'],MIks ei võitle USA koos NATO'ga sionistliku terror ... khm ....,Failid_ettenten_retaggered/www_ekspress_ee__14528.json
['OK-ülesse-ylesse'],"05/19/2005 - piip-piim Saatis Pearu .. osadest piipudest ei saagi piimaga tõmmata kuan vee anuma kael pole piisavalt kõrge ... kui anum on sikue lyhemat sorti ja jässakam on lootusetu sinna piima panna ... siin mängimb rolli anu .. ja kui veega segada siis pole enam see ja vahutab endiselt .. muretsege endale kas vee sisse mineva vooliku pikendus mis võimaldab kasutada vähem piima , et piim ei jõukas vahutades ylesse või vahetage piimapärast lihtsalt nõu millegi .. mh .. kuidas öelda mitte originaali vastu ....",Failid_ettenten_retaggered/www_vesipiip_ee__213031.json
['OK-või-voi'],"Ja milleks mingeid alakaalulisi tibisid , kes kukuvad madalast veresuhkrust kokku voi suudavad tosta 1 konservi korraga ... kuna kaaluvad 1 konserv . :)P",Failid_ettenten_retaggered/rahvahaal_delfi_ee__251818.json
['OK-või-voi'],Mats 14.12.2012 14:29 Ostax kull kas voi ouele lillekaunistusx,Failid_ettenten_retaggered/tv_motors24_ee__600787.json
['OK-õun-fun'],"muidu suht hea , lõõgastav / fun",Failid_ettenten_retaggered/www_lapsemure_ee__142098.json
['OK-õnn-Inn'],Inn,Failid_ettenten_retaggered/www_epl_ee__146572.json
['OK-õli-ali'],ali 2,Failid_ettenten_retaggered/majandus_delfi_ee__458532.json
['OK-usaldusväärne-usaldusvaarne'],see naib usaldusvaarne,Failid_ettenten_retaggered/forte_delfi_ee__365761.json
['OK-õis-sis'],"Kuna laste arvelt saab ka pensionile minnes soodustusi siis tuleb ka sul endal nende soodustuse saamiseks mehelt nõusolek saada , kui mitte vabatahtlikult sis kohtu teel",Failid_ettenten_retaggered/juura_ee__218452.json
['NAME-õpik-Öpik'],Ernst Öpik esitas atmosfääris meteoori lennu ajal toimuvate füüsikaliste protsesside teooria,Failid_ettenten_retaggered/www_ajaloomuuseum_ut_ee__404642.json
['OK-süsi-sisi'],"Kuid pead hagis oma soovi põlvnemist tõestada väga hästi põhjendada , arvestades sellega , et kui kostja ( sinu arvatav isa ) esitab vastuäited et hagi mitte menetlusse võtta sisi peab sinu soov sellele vastu",Failid_ettenten_retaggered/juura_ee__501877.json
['OK-õis-sis'],"Tegime siis õhtul üheksa läbi veel auru ja laps jäi peale seda sülle magama , mingi hetk ärkas suure nutuga , tõusin et kõndida vast rahuneb ja sis ajas korra pea taha poole ja oli vaikus , lasi käed jalad rippu ja ..............",Failid_ettenten_retaggered/www_nupsu_ee__488483.json
['NAME-üleni-Eleni'],Kuigi nüüdseks on Eleni nimeisi rohkem kiputakse ikka igalpool Heleniks märkida Või siis veel miskit moodi Helena või Elena Kunagi tahtsin ka mina teist nime aga noh ei vahetaks seda,Failid_ettenten_retaggered/www_nupsu_ee__492414.json
['OK-õnn-ann'],ann,Failid_ettenten_retaggered/amor_ee__542824.json
['OK-õnn-ann'],ann,Failid_ettenten_retaggered/amor_ee__542824.json
['OK-õnn-ann'],ann,Failid_ettenten_retaggered/www_ekspress_ee__141424.json
['OK-nõu-ngu'],"Ja just nii , ngu meiegi näeme pimedaid kohti ( mitte midagi nähes ) .",Failid_ettenten_retaggered/aab_pri_ee__282261.json
"['OK-läbi-labi', 'OK-märts-marts']","Ei , ei , Eestis on labi aegade kolm aastaaega olnud – talv , suvi ja marts .",Failid_ettenten_retaggered/aab_pri_ee__397869.json
['NAME-ümber-Amber'],"Leiad infot selliste staaride kohta nagu Amber Michel , Asia Carrera , Briana Banks , Devon , Gauge , Jade Shu , Jenna Jameson , Krystal Steal , Nikki Nova , Sky Lopez , Stacy Valentine , Sylvia Saint , Tabitha Stevens ja Tera Patrick .",Failid_ettenten_retaggered/adult_pri_ee__52761.json
['OK-öine-nine'],Nimi : Polt ( 30 - aastane ) Asukoht : Tallinn Kuulutuse sisu : Ilusa kehaga kuni 35 aastane nine kui sul puuduvad voodis takistused või tahaksid neid ületada saada oma pilt ning naudime üksteist .,Failid_ettenten_retaggered/adult_pri_ee__543494.json
['OK-üle-ple'],"aga päevi ei alanud kuna võtsin paar päeva ennem "" päevade algamist "" sos pille kuna kartsin et pillide mõju ple alanud .",Failid_ettenten_retaggered/amor_ee__208799.json
['OK-pöörane-põõrane'],"Elu aeg ei saagi olla see põõrane armumine kus kõik on liblikate rohke ja sa ei suuda keskenduda , sest mõtled tema peale koguaeg .",Failid_ettenten_retaggered/amor_ee__212318.json
"['OK-mõni-msni', 'OK-mõni-msni']","ta läks nendega ka koos koju , isegi tsau ei öelnud meile ... järgmisel päeval , kui ta msni tuli luges ta mu msni pealkirju ( igasuguseid oli ... nt. ma suudaksin sulle andestada , kui sa ise aru saaksid , kui palju valu sa mulle sellega põhjustasid :'( jnejne . ) .",Failid_ettenten_retaggered/amor_ee__212318.json
['OK-mäng-ming'],"ma lihtsalt olen nii segaduses , et ma ei suuda enam olla ja ma ei tea mida ma tegema pean :'( kuigi ma armastan teda nii meeletult ja tema väidab , et tema ka armastab ming väga väga palju ei suuda ma teda ju sellise asja pärast maha ka jätta .",Failid_ettenten_retaggered/amor_ee__451466.json
['OK-üle-kle'],"Ja lilleke kle , ma olen proovinud nii .",Failid_ettenten_retaggered/amor_ee__451466.json
['OK-tüli-tõli'],"a klge , öelge kas see oleks õig käitumine kui nt mil tuleks uuesti sellest suht suur tõli , et siis ma lihtsalt läheks ära minema ja kui ta minuga ühendust võtaks siis ma ütleks et sorry , ma ei suuda enam niimoodi taluda seda üksi passismist .",Failid_ettenten_retaggered/amor_ee__451466.json
['ENGLISH-hüpe-hope'],"kuigi jah ma tean ta armastab mind täiega ( hope so vähemalt ) ja mina teda ka tohutult , tunnen , et ta on mkinu jaoks see õige .",Failid_ettenten_retaggered/amor_ee__451466.json
['OK-küll-kyll'],"Tupp oleks nagu kinni kasvanud või , mitte kyll päris kinni kasvanud , aga minumeelest on seal veel mingi teine nahariba ka veel aga see on väiksem .",Failid_ettenten_retaggered/amor_ee__649711.json
['OK-vöö-vmm'],"Tunnist rääkides , siis olen sageli märkamatult kaasa haaranud - kas palle tassima , punkte lugema , mõõtma appi vmm .",Failid_ettenten_retaggered/arhiiv_koolielu_ee__656883.json
['NAME-äge-Age'],"Siit on väike samm edasi katsetada hüpnoosiga , sensitiividega , posijatega , New Age  ga , nõidadega jne .",Failid_ettenten_retaggered/arhiiv_koolielu_ee__661682.json
['OK-üle-ile'],"Ta kulutab kogu "" auru "" mitte õpetatava aine sisule , vaid oma imid  ile .",Failid_ettenten_retaggered/arhiiv_koolielu_ee__663644.json
['NAME-äike-Nike'],Tallinnas A le Coq Arena Spordikeskuses lõppeval Nike Premier Cup Balti finaalturniiril jõudsid finaali Eesti ja Läti poisid .,Failid_ettenten_retaggered/arhiiv_sport_err_ee__315326.json
['NAME-ümar-Amar'],"Amar Annus tõestas sel suvel ( üksinda ! ) veenvalt , et üks Louvre’i muuseumis Sargon II ( 721 – 705 eKr ) trooniruumis asuv kuulus skulptuur kujutab kuningas Gilgameši – seda muistsete tekstide rekonstrueerimisel saadud uue matemaatilise teabe abil .",Failid_ettenten_retaggered/arvamus_postimees_ee__428156.json
['NAME-võigas-Vaigas'],"1132 - Novgorodi Vsevolod teostab oma jõul , ilma vendade abita , sõjaretke eestlaste vastu , kuid saab 23. jaanuaril Vaigas ( Põhja-Tartumaal ) hävitavalt lüüa .",Failid_ettenten_retaggered/bhr_balanss_ee__117959.json
['OK-mõni-msni'],"Sõbranna Kr ja Be on nagu nii Tartus ja nendega jõuan ma msni ja telefonis ka suhelda , kui mul tahtmist on .",Failid_ettenten_retaggered/blogi_ee__329615.json
['OK-õun-fun'],Suht fun oli .,Failid_ettenten_retaggered/blogi_ee__339582.json
"['OK-mäss-muss', 'OK-õun-fun']","Hullult tantsisime , sest muss oli ülilahe .. siuke fun muusika .. [ . . .",Failid_ettenten_retaggered/blogi_ee__339582.json
['OK-jää-juu'],"Niigi on lennupiletid kallid juu .. ( no kellele on , kellele mitte ) Sõin issi tehtud võileivad ja kohukesed ära ja nüüd hea olla .",Failid_ettenten_retaggered/blogi_ee__339582.json
['NAME-rüpp-Rapp'],"Hommikul kell 8.30 kirjutasid AS YIT Ehituse Lääne-Eesti regiooni juht Toomas Rapp ja Sindi linnapea Mati Mettus alla lepingule , mille põhjal asutakse linna lasteaeda põhjalikult uuendama .",Failid_ettenten_retaggered/blog_maaleht_ee__100525.json
